courseNumber,description
CS161,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): ee 120a or cs 120a. a study of the fundamentals of computer design. topics include the performance evaluation of microprocessors; instruction set design and measurements of use; microprocessor implementation techniques including multicycle and pipelined implementations; computer arithmetic; memory hierarchy; and input/output (i/o) systems."
CS164,"4 units, lecture, 3 hours; laboratory, 2 hours; individual study, 1 hour. prerequisite(s): cs 100; cs 111; cs 153. covers the fundamentals of computer networks. topics include layered network architecture, communication protocols, local area networks, unix network programming, verification, network security, and performance studies."
CS166,"4 units, lecture, 3 hours; laboratory, 2 hours; individual study, 1 hour. prerequisite(s): cs 100; cs 111. covers basic concepts of databases and database management systems. topics include entity-relationship modeling for design, relational data model, relational algebra, structured query language (sql), secondary storage, indexing and hashing, query evaluation and optimization, and overview of transactions."
CS168,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s): cs 120a or ee 120a;  or consent of instructor. studies integrated circuit fabrication, device characterization, and circuit simulation. introduces basic device physics and physical design rules, mos logic design, and timing and clock schemes. covers layout generation, subsystem designs, and circuits for alternative logic styles. also covers design and simulation using hardware description language and cad tools.     cross-listed with ee 168.  credit is awarded for one of the following  ee 168,  cs 168, or ee 282a."
CS170,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): cs 100 with a grade of ""c-"" or better, cs 111. an introduction to the field of artificial intelligence. focuses on discrete-valued problems. covers heuristic search, problem representation, and classical planning. also covers constraint satisfaction and logical inference."
CS171,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): math 010a; math 031 or ee 020b; stat 155 or ee 114 or stat 156a; cs 100 or ee 016. introduces formalisms and methods in data mining and machine learning. topics include data representation, supervised learning, and classification. covers regression and clustering. also covers rule learning, function approximation, and margin-based methods.     cross-listed with ee 142."
CS173,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): cs 100; cs 111; ee 114 or stat 155. an overview of modern approaches for natural language processing. focuses on major algorithms used in nlp for various applications such as part-of-speech tagging, parsing, named entity recognition, coreference resolution, sentiment analysis, and machine translation."
CS182,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): cs 100. a study of modern techniques to assess the quality of software artifacts through functional, performance, and reliability testing. introduces black box and white box testing techniques. covers the application of modern testing tools to software units, components, subsystems, and entire systems.  also covers verification as a complementary technique to testing."
CS190,"1 to 5 units, individual study, 3 to 15 hours. prerequisite(s): consent of instructor and department chair. individual study to meet special curricular needs. course is repeatable to a maximum of 9 units."
CS211,"4 units, lecture, 3 hours. prerequisite(s): cs 161;  graduate standing; or consent of instructor. introduces performance optimization for sequential computer programs. covers high performance computing on multicore shared memory computers and on distributed memory computing clusters. also covers high performance scientific libraries and computing application development using pthreads, openmp, and message passing interface (mpi) parallel file systems.  may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor."
CS217,"4 units, lecture, 3 hours; consultation, 1 hour. prerequisite(s): cs 160 with a grade of ""c-"" or better; graduate standing; or consent of instructor. introduces the popular cuda based parallel programming environments based on nvidia gpus. covers the basic cuda memory/threading models. also covers the common data-parallel programming patterns needed to develop a high-performance parallel computing applications. examines computational thinking; a broader range of parallel execution models; and parallel programming principles. may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor. cross-listed with ee 217."
CS235,"4 units, lecture, 3 hours; term paper, 1.5 hours; activity, 1.5 hours. prerequisite(s): cs 141; cs 170 is recommended. cs 235 online section: enrollment in the online master of science in engineering program;  graduate standing. provides a broad background in the design and use of data mining algorithms and tools. includes clustering, classification, association rules mining, time series clustering, and web mining.  may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor."
CS258,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): ee 215 or ee 244 or cs 224 or ee 228 or cs 228 or ee 251b or cs 252b;  graduate standing;  or consent of instructor. this course introduces key ideas and algorithms of reinforcement learning (rl). key topics covered include finite markov decision process (mdp), dynamic programming, monte carlo methods, temporal-difference learning, policy gradient methods, safety-constrained rl, batch-constrained rl, multi-agent rl, multi-armed bandits, and imitation learning.  may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor.   cross-listed with ee 227."
CS290,"1 to 6 units, individual study, 3 to 18 hours. prerequisite(s): graduate standing; consent of instructor. special studies in computer science. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 12 units."
CRWT041,"4 units, lecture, 3 hours; activity, 3 hours. prerequisite(s): none. analytical reading of contemporary poetry and fiction in order to broaden and deepen students' understanding of the craft of writing. students analyze and practice poetic and fictional techniques."
CRWT046S,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): none. a survey of selected works of contemporary fiction and related texts.  emphasizes on the craft of fiction and how craft contributes to meaning. course is repeatable as content changes to a maximum of 8 units. credit is not awarded for crwt 046s if it has already been awarded to crwt 046 if the content or topic is the same."
CRWT056,"4 units, lecture, 3 hour; discussion, 1 hour. an introduction to the craft of creative writing.  focuses on the elements of a number of genres, including poetry, fiction, nonfiction, journalism, drama, and the graphic novel."
CRWT066,"4 units, lecture, 3 hours; discussion, 1 hour; screening, 8 hours per quarter. prerequisite(s): none. an introduction to writing for stage and screen. addresses structure, character, dialogue, theme, and story. cross-listed with mcs 066, and tfdp 066."
CRWT130,"4 units, workshop, 3 hours; extra reading, 3 hours. prerequisite(s): two of the following courses: crwt 057sa, crwt 057a, crwt 057b, crwt 057c; or consent of instructor. introduction to creative nonfiction. covers its history and strategies for writing and critically evaluating creative nonfiction essays. focuses on writing creative nonfiction essays based on personal experience. includes readings in current nonfiction. course is repeatable to a maximum of 8 units."
CRWT146,"4 units, seminar, 3 hours; extra reading, 3 hours. prerequisite(s): crwt 056;  or consent of instructor. explores specific topics of style and craft in fiction.   course is repeatable as content or topic changes to a maximum of 8 units.   credit is awarded to a maximum of 10 units for either or both crwt 146 or crwt 146s with different titles."
CRWT164A,"4 units, seminar, 3 hours; discussion, 1 hour. prerequisite(s): crwt 056 or tfdp 100 or consent of instructor. seminar in the practice of playwriting centering on the construction of a plot. cross-listed with tfdp 164a."
CWPA246,"4 units, seminar, 3 hours; extra reading, 3 hours; term paper, 1 hour. prerequisite(s): graduate standing. explores various movements and themes in literature. course is repeatable to a maximum of 24 units."
CWPA264,"4 units, workshop, 3 hours; consultation, 1 hour. prerequisite(s): graduate standing or consent of instructor. intensive formal study of playwriting with emphasis on plot, character, theme, dialogue, and style. course is repeatable."
CWPA266,"4 units, workshop, 3 hours; consultation, 1 hour; screening, 2 hours. prerequisite(s): graduate standing or consent of instructor. involves outline and completion of an initial draft of a feature-length screenplay. also includes a comparison study of two movies in the same genre. course is repeatable."
CWPA302,"1 to 4 units, consultation, 1 to 4 hours; practicum, 2 to 8 hours. prerequisite(s): graduate standing. supervised teaching in undergraduate creative writing courses. graded satisfactory (s) or no credit (nc). course is repeatable."
DNCE005,"4 units, seminar, 3 hours; individual study, 1 hour; extra reading,1 hour; several short essays. prerequisite(s): none. as a survey of approaches to dancing and dance making, this course introduces students to dance technique, performance, and composition as fundamental components in the art of dance. students will cultivate the ability to enact and remember patterns of rhythm, effort, and visual design in movement and will become acquainted with various procedures for organizing movement. especially designed for students with no experience in dance."
DNCE071B,"2 units, studio, 3 hours; individual study, 1 hour; extra reading, 1 hour; screening, 1 hour. prerequisite(s): dnce 071a recommended. ballet technique at the intermediate level. assignments include attending dance concerts and other dance showings. course is repeatable."
DNCE190,"1 to 5 units, to be taken with the consent of the chair of the department of dance to meet special curricular problems. course is repeatable to a maximum of 12 units."
ECON101,"5 units, lecture, 3 hours; discussion, 1 hour; laboratory, 1 hour; individual study, 2 hours. prerequisite(s): math 005b or math 007a or math 009a or math 09ha or math 022; or equivalent. an introduction to the basic statistical methods for economics. topics include economic data analysis, index numbers,univariate and bivariate probability distributions, correlation and regression, sampling distributions, properties of estimators, and hypothesis testing."
ECON106,"4 units, lecture, 3 hours; laboratory, 1 hour; individual study, 2 hours; term paper, 1 hour. prerequisite(s): econ 101. an introduction to data analytics, visualization, and interpretation. includes collecting, cleaning, and preparing data for analysis. uses data to generate and interpret meaningful displays of quantitative and qualitative data. emphasizes data visualization."
ECON119,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s): econ 003 or econ 003h; or consent of instructor. examines issues at the intersection of law and economics. presents the tools needed for an economic analysis of law. applies the tools to understand the economic logic of the law, especially property, contract, tort, and antitrust law."
ECON200A,"6 units, lecture, 4.5 hours; discussion, 2 hours. prerequisite(s): econ 104b; or equivalent;  graduate standing. focuses on consumer and producer theory under conditions of certainty. covers required mathematics including real analysis and static optimization theory.  may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor."
ECON201A,"4 units, lecture, 3 hours; discussion, 1.5 hours. prerequisite(s): econ 105b, econ 200a, may be taken concurrently; or equivalent;  graduate standing. examines the basic issues and models of macroeconomics."
ECON205A,"4 units, lecture, 3 hours; discussion, 1.5 hours. prerequisite(s): econ 104a; econ 105a; math 009a; math 009b; stat 011; or equivalents;  graduate standing. examines econometric methods for the analysis of economic data and the construction of econometric models with applications to microeconomics and macroeconomics. covers the linear regression model and related techniques of matrix algebra.  also addresses statistical estimation and inference."
ECON241,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s): graduate standing or consent of instructor. focuses on the quantity and quality of labor supply. provides a rich understanding of labor supply and human capital theory; develops econometric skill to evaluate empirical evidence of the predictions that theory affords; and discusses the art of connecting theory to empirical analysis."
ECON260,"4 units, seminar, 3 hours; individual study, 3 hours. prerequisite(s): graduate standing or consent of instructor. a survey of the major theories of development and underdevelopment beginning with the classical model, theories of surplus, and including the models of lewis, nurkse, hirschman, neoclassical schools, structuralist models, and dependency theory."
ECON302,"1 to 4 units, practicum, 3 to 11 hours; seminar, 1 hour. prerequisite(s): limited to department tas; graduate standing. supervised teaching in upper- and lower-division courses. required of all economics teaching assistants. graded satisfactory (s) or no credit (nc). may be repeated for credit."
EDUC299,"1 to 12 units, directed independent studies, 1-6 hours. prerequisite(s): advancement to candidacy for the master's or doctoral degree . graded satisfactory (s) or no credit (nc). course is repeatable."
EDUC336A,"4 units, field, 160 hours per quarter. prerequisite(s): educ 337a, may be taken concurrently, educ 344a, may be taken concurrently;  admission to a teaching credential program;  graduate standing. supervised teaching in the multiple subject classroom. required of all candidates for the multiple subject credential.  graded satisfactory (s) or no credit (nc).   credit is awarded for one of the following  educ 336a or educ 338a."
EDUC344A,"2 units, seminar, 2 hours. prerequisite(s): concurrent enrollment in educ 336a or educ 338a or consent of instructor. analyzes instructional processes used in multiple subjects classrooms. topics include classroom management, curriculum planning, instructional strategies, and oral and written communication skills."
EDUC348A,"2 units, seminar, 2 hours. prerequisite(s): educ 162 with a grade of c- or better, may be taken concurrently or educ 280l with a grade of c- or better, may be taken concurrently, educ 177 with a grade of c- or better, may be taken concurrently or educ 178 with a grade of c- or better, may be taken concurrently;  concurrent enrollment in educ 376a or educ 378a;  graduate standing. analyzes instructional problems encountered by candidates in the single subject classroom. topics include basic curriculum, classroom management, interpersonal relationships, self-evaluation, and professional competencies."
EDUC376A,"4 units, field, 160 hours per quarter. prerequisite(s): educ 162 with a grade of c- or better, may be taken concurrently or educ 280l with a grade of c- or better, may be taken concurrently, educ 177 with a grade of c- or better, may be taken concurrently or educ 178 with a grade of c- or better, may be taken concurrently; concurrent enrollment in educ 348a and educ 377a;  admission to a teaching credential program;  graduate standing. supervised teaching in the single subject classroom. required of all candidates for the single subject credential candidates.  graded satisfactory (s) or no credit (nc).   credit is awarded for one of the following  educ 376a or educ 378a."
EE005,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s): phys 040c or phys 040hc;  or consent of instructor. introduction to linear circuit elements and analysis, operational amplifiers, semiconductor diodes and transistors, analog amplifiers, and digital circuits. provides hands-on experience in designing and analyzing electronic circuits. does not confer credit towards a degree in electrical engineering and in computer engineering."
EE016,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): cs 010b. covers essential algorithms and data structures, elements of numerical data processing, linear algebra, and statistical analysis. encompasses multiple engineering areas such as sensor interfacing, signal and image processing, pattern recognition, robotics, and intelligent systems. introduces the use of python programming language."
EE020A,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): math 005c with a grade of c- or better or math 007b with a grade of c- or better or math 009b with a grade of c- or better or math 09hb with a grade of c- or better; or equivalent;  or consent of instructor. introduction to ordinary differential equations; complex numbers; trigonometric, compact and exponential fourier series; frequency spectrum; and laplace transform, fourier transform, and their application to the solution of integro-differential equations as they appear in the physical sciences and engineering.     cross-listed with math 045.  credit is awarded for one of the following  math 045,  ee 020a, or math 046."
EE020B,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): cs 010a; math 009a or math 09ha. introduces matlab programming and linear methods for engineering analysis and design. topics include formulating engineering problems as linear systems of equations; methods for finding their solutions; vector and matrix representations of signals and systems; matrices computations; and linear programming for system analysis and design.     credit is awarded for one of the following  ee 020b or math 031."
EE030A,"3 units, lecture, 3 hours. prerequisite(s): concurrent enrollment in   ee 030la; ee 020a or math 045; ee 020b, may be taken concurrently; phys 040c, may be taken concurrently or phys 040hc, may be taken concurrently. covers ohm's law and kirchhoff's laws; nodal and mesh analysis; network theorems; properties of capacitors and inductors; transient analysis of rc, rl, and rlc circuits; and modeling of electric circuits with spice."
EE030LA,"1 unit, laboratory, 3 hours. prerequisite(s): concurrent enrollment in   ee 030a; ee 020a or math 045; ee 020b, may be taken concurrently; phys 040c, may be taken concurrently or phys 040hc, may be taken concurrently. provides laboratory experiments tied to the lecture material of ee 030a. covers resistive circuits, network theorems, operational amplifiers, and transient response. includes application of spice to circuit analysis."
EE100A,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s): ee 030b. topics include small-signal modeling of electronic circuits; dc biasing of small-signal bipolar and field-effect transistor amplifiers; current mirrors, cascodes, differential amplifiers, and multistage amplifiers; analysis and design of negative feedback circuits; and modeling of electronic circuits with spice."
EE110A,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): ee 020a or math 045; ee 020b or math 031. covers basic signals and types of systems, linear time-invariant (lti) systems, fourier analysis, frequency response, and laplace transforms for lti systems. includes laboratory experiments with signals, transforms, harmonic generation, linear digital filtering, and sampling/aliasing."
EE114,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): ee 110a, may be taken concurrently or ee 111, may be taken concurrently. covers fundamentals of probability theory, random variables, and random processes with applications to electrical and computer engineering. includes probability theory, random variables, densities, functions of random variables, expectations and moments, and multivariate distributions. also addresses random processes, autocorrelation function, spectral analysis of random signals, and linear systems with random inputs."
EE115,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s): ee 110a or ee 111. covers spectral density and correlation, modulation theory, amplitude, frequency, phase and analog pulse modulation and demodulation techniques, signal-to-noise ratios, and system performance calculations. laboratory experiments involve techniques of modulation and demodulation."
EE116,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): ee 030b, may be taken concurrently. transmission lines, fields and field operators, electrostatic and magnetostatic fields, time-varying fields, electrodynamics, electromagnetic waves, plane waves, guided waves, and applications to engineering problems."
EE120A,"5 units, lecture, 3 hours; laboratory, 3 hours; individual study, 3 hours. prerequisite(s): cs 061 with a grade of c- or better. covers design of digital systems. includes boolean algebra; combinational and sequential logic design; design and use of arithmetic logic units, carry-lookahead adders, multiplexors, decoders, comparators, multipliers, flip-flops, registers, and simple memories; state-machine design; and basic register-transfer level design. uses hardware description languages, synthesis tools, programmable logic, and significant hardware prototyping.     cross-listed with cs 120a."
EE120B,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): cs 010b; cs 120a or ee 120a. introduction to hardware and software design of digital computing systems embedded in electronic devices (e.g., digital cameras or portable video games). includes embedded processor programming, custom processor design, standard peripherals, memories, interfacing, and hardware/software tradeoffs. involves use of synthesis tools, programmable logic, microcontrollers, and developing working embedded systems.     cross-listed with cs 120b."
EE128,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s): ee 005, may be taken concurrently or ee 030b, may be taken concurrently; ee 120b, may be taken concurrently or cs 120b, may be taken concurrently;  or consent of instructor. covers embedded system design for sensor data acquisition, signal processing, control, and actuation. explores sensor and motor interface principles (analog-to-digital and digital-to-analog conversion, nyquist sampling rate, power constraints, and communication with peripherals). also addresses design principles for instrumentation, embedded software programming, and real-time systems for sensing and control tasks."
EE133,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): ee 005 or ee 030b. presents the fundamentals of solid-state electronics. topics include electronic band structure; fermi and quasi-fermi levels; doping; contacts; junctions; field-effect, bipolar, and metal-oxide-semiconductor (mos) transistors; and charge-coupled devices. also reviews device fabrication concepts."
EE141,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s): ee 110b or ee 111. transform analysis of linear time-invariant (lti) systems; discrete fourier transform (dft) and its computation; fourier analysis of signals using the dft; filter design techniques; and structures for discrete-time systems. laboratory experiments on dft, fast fourier transforms (fft), infinite impulse response (iir), finite impulse response (fir) filter design, and quantization effects."
EE142,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): math 010a; math 031 or ee 020b; stat 155 or ee 114 or stat 156a; cs 100 or ee 016. introduces formalisms and methods in data mining and machine learning. topics include data representation, supervised learning, and classification. covers regression and clustering. also covers rule learning, function approximation, and margin-based methods.     cross-listed with cs 171."
EE168,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s): cs 120a or ee 120a;  or consent of instructor. studies integrated circuit fabrication, device characterization, and circuit simulation. introduces basic device physics and physical design rules, mos logic design, and timing and clock schemes. covers layout generation, subsystem designs, and circuits for alternative logic styles. also covers design and simulation using hardware description language and cad tools.     cross-listed with cs 168.  credit is awarded for one of the following  ee 168,  cs 168, or ee 282a."
EE190,"1 to 5 units, individual study, 3 to 15 hours. prerequisite(s): consent of instructor and department chair. individual study to meet special curricular needs. course is repeatable to a maximum of 9 units."
EE215,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): graduate standing or consent of instructor. a study of probability and stochastic processes. topics include discrete and continuous random variables; probability densities; characteristic functions; convergence of random sequences; central limit theorem; autocorrelation functions and spectral densities; wide-sense and strict-sense stationarity; markov chains and processes; and response of linear time-invariant systems to random signals."
EE217,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): cs 160 with a grade of ""c-"" or better; graduate standing; or consent of instructor. introduces the popular cuda based parallel programming environments based on nvidia gpus. covers the basic cuda memory/threading models. also covers the common data-parallel programming patterns needed to develop a high-performance parallel computing applications. examines computational thinking; a broader range of parallel execution models; and parallel programming principles. may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor. cross-listed with cs 217."
EE227,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): ee 215 or ee 244 or cs 224 or ee 228 or cs 228 or ee 251b or cs 252b;  graduate standing;  or consent of instructor. this course introduces key ideas and algorithms of reinforcement learning (rl). key topics covered include finite markov decision process (mdp), dynamic programming, monte carlo methods, temporal-difference learning, policy gradient methods, safety-constrained rl, batch-constrained rl, multi-agent rl, multi-armed bandits, and imitation learning.  may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor.   cross-listed with cs 258."
EE230,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): graduate standing or consent of instructor. covers fundamental theoretical concepts and computational tools for electrical engineering graduate students. presents material relevant to electrical engineering applications. topics include vector spaces; partitioned, unitary, and positive definite matrices; differential calculus with matrices; matrix decompositions; linear system solution; convex optimization; the lagrangian method; kkt conditions; and nonlinear optimization methods. may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor."
EE231,"4 units, lecture, 3 hours; term paper, 3 hours. prerequisite(s): ee 230, may be taken concurrently;  graduate standing;  or consent of instructor. covers recognizing and solving convex optimization problems in engineering applications. explores convex sets, functions, and optimization problems. includes basics of convex analysis, least-squares, linear and quadratic programs, semidefinite programming, minimax, and other problems. addresses optimality conditions, duality theory, theorems of alternative and applications, interior-point methods, and applications in engineering."
EE233,"4 units, lecture, 4 hours; term paper, 1 hour. prerequisite(s): me 120, me 121 or equivalent; or consent of instructor. introduces optimal control and estimation with specific focus on discrete time linear systems. topics include analysis of discrete riccati equations; asymptotic properties of optimal controllers; optimal tracking; an introduction to receding horizon control; derivation of the kalman filter; extended kalman filter; and unscented kalman filter. may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor. cross-listed with me 220."
EE290,"1 to 6 units,  individual study, 3 to 18 hours. prerequisite(s): graduate standing; consent of instructor and graduate advisor. individual study, directed by a faculty member, of selected topics in electrical engineering. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 12 units."
ENGR190,"1 to 5 units, individual study, 3 to 15 hours. prerequisite(s): upper-division standing or consent of instructor. to be taken with the consent of the chair of the appropriate engineering program as a means of meeting special curricular problems. units in this course may not be used to meet requirements for the major unless so designated as a replacement for a requirement not being offered during the student's remaining tenure. course is repeatable to a maximum of 9 units."
ENGL005L,"1 units, laboratory, 3 hours. prerequisite(s): concurrent enrollment in engl 005. focuses on advanced mastery of principles and applications of english grammar and idiomatic expression, as well as critical reading. graded satisfactory (s) or no credit (nc)."
ENGL007,"0.5 units, workshop, 0.5 hour. prerequisite(s): concurrent enrollment in the corresponding wac (writing across the curriculum) course. review the titles or topics in the current online schedule of classes to find the corresponding engl 007 lecture or laboratory course.. focuses on exploring and practicing strategies for writing assignments in w-courses: close reading of prompts, forming a relevant thesis, and finding, selecting, and organizing evidence.  graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 2 units."
ENGL022,"4 units, lecture, 3 hours; extra reading, 3 hours. acquaints students with a range of native american literatures.  discusses mass-mediated images of native americans and how ""indianness"" is constructed, contested, and embodied in poetry, film, autobiography, fiction, and photography."
ENGL101,"4 units, lecture,3 hours; consultation, 1 hour. a study of major theoretical issues in representative critical and scholarly works."
ENGL103,"4 units, lecture, 3 hours; discussion/consultation, 1 hour. prerequisite(s): engl 001c or the equivalent. principles of expository prose, with intensive practice. advanced course in composition, not remedial. may be repeated for credit up to a maximum of 12 units."
ENGL117T,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): upper-division standing or consent of instructor. a focused study of works by shakespeare selected from different genres."
ENGL136T,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): upper-division standing or lower-division english course (other than composition) or consent of instructor. a focused study of ideas, forms, or movements in latina/o literature such as autobiography, growing-up narratives, popular discourses (teatro, the corrido, social movement poets), and the mainstream latina/o literary ""booms."""
ENGL139,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): upper-division standing or lower-division english course (other than composition) or consent of instructor. a critical survey of asian american literature, with particular attention to aesthetic achievements, recurrent forms and themes, and interrelations with other american literatures."
ENGL198I,"1 to 12 units, internship, 3 to 36, prerequisite(s): consent of instructor or upper division standing. introduces the operations of professional societies, journals, archives, and cooperating agencies related to the study and management of literature and language. explores the ongoing operations of these organizations.  includes researching and writing analyses and/or histories under faculty supervision. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 16 units."
ENGL298I,"1 to 12 units, term paper, 1 to 6 hours; extra reading, 1 to 6 hours; internship, 1 to 24 hours. prerequisite(s):  graduate standing;  and consent of instructor. individual study or apprenticeship in a professional setting such as a library, museum, archive, or media and arts organization to gain practical experience and skills for future career. the number of units enrolled will depend upon the amount of internship hours per week.  graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 16 units."
ENGL302,"1 to 4 units, seminar, 1 to 4 hours. prerequisite(s): graduate standing. a flexible program of meetings and conferences on the problems and techniques of writing instruction most pertinent to basic writing or to engl 001. required of all tas for at least five quarters, after which the ta may, with the permission of the director of engl 001, elect to take engl 304 instead. open to all graduate students. graded satisfactory (s) or no credit (nc). may be repeated for credit."
ENGL303,"1 to 2 units, discussion, 1 hour; practicum, 1 to 3 hours. prerequisite(s): graduate standing or consent of instructor. a flexible program of meetings and conferences on the problems and techniques of teaching literature, cultural studies, film studies, and related courses. graded satisfactory (s) or no credit (nc). course is repeatable."
ENTM190,"1 to 4 units, individual study, 3 to 12 hours. prerequisite(s): upper-division standing and consent of instructor. directed studies by a faculty member to address specific curricular needs.  a written proposal signed by the supervising faculty member and the undergraduate advisor is required. course is repeatable to a maximum of 4 units."
ENTM201L,"1 unit, laboratory, 3 hours. prerequisite(s): bch 100, may be taken concurrently or bch 100h, may be taken concurrently or bch 110a, may be taken concurrently or bch 110ha, may be taken concurrently; graduate standing; or consent of instructor. introduces core techniques for studying insects at the molecular and organismal levels. includes hands-on exercises to learn sample handling, nucleic acid extraction, pcr, sequencing, microscopy, dissection, and feature identification."
ENTM249,"1 to 6 units, lecture, 1 to 6 hours; laboratory, 0 to 15 hours; prerequisite(s): graduate standing or consent of instructor. explores topics in entomology within the area of specialization of each faculty member.  content emphasizes recent advances in the special topic area and varies accordingly. course is repeatable as content changes."
ENTM290,"1 to 6 units, prerequisite(s):  graduate standing. literature studies on special topics under direction of a member of the staff. graded satisfactory (s) or no credit (nc). course is repeatable."
ENTM301,"1 unit, seminar, 1 hours. prerequisite(s): graduate standing in entomology. a program of weekly meetings and individual formative evaluation required of new entomology teaching assistants. covers instructional methods and classroom/section activities most suitable for teaching entomology. conducted by departmental faculty or the teaching assistant development program. graded satisfactory (s) or no credit (nc). course is repeatable."
ENTM302,"1 to 4 units, practicum/consultation, 3 to12 hours. prerequisite(s): graduate standing and consent of instructor. supervised teaching in college level classes under supervision of the course instructor. graded satisfactory (s) or no credit (nc). course is repeatable."
ENVE190,"1 to 5 units, individual study, 3 to 15 hours. prerequisite(s): upper-division standing; consent of instructor and department chair. individual study to meet special curricular needs. course is repeatable to a maximum of 9 units."
ETST003,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): none. this course is designed to provide an overview of the african american experience in the united states from antiquity to the present. it employs comparative and interdisciplinary perspectives. emphasis is placed on examining the african american experience in a world context and comparing the african american experience to the experiences of other racial and ethnic groups."
ETST124,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s): upper-division standing or consent of instructor. the unique experience of the chicana viewed from social, intellectual, historical, and artistic perspectives."
ETST289,"1 unit, colloquium, 1 hour. prerequisite(s): graduate standing or consent of instructor. lectures and discussions by students, faculty, and invited scholars on selected topics. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 6 units."
ETST302,"1 to 4 units, practicum, 3 to 12 hours. prerequisite(s): limited to teaching assistants; graduate standing. supervised teaching in lower- and upper-division courses. required of all ethnic studies teaching assistants. graded satisfactory (s) or no credit (nc). course is repeatable."
ETST405,"2 units, seminar, 27 hours per quarter; practicum, 3 hours per quarter. prerequisite(s): graduate standing; consent of instructor. covers a broad range of topics related to academic professionalization. addresses issues pertaining to the dissertation, publishing, professional activity, and the process of getting tenure. also covers issues related to teaching at the university level. graded satisfactory (s) or no credit (nc)."
FIL004,"4 units, lecture, 4 hours. prerequisite(s): fil 003 with a grade of c- or better; or equivalent or a sufficiently high test score on the filipino placement examination as determined by department faculty.. emphasizes further development of the four language skills: reading, writing, understanding, and speaking. conducted primarily in filipino."
FREN002,"4 units, lecture, 4 hours. prerequisite(s): fren 001 with a grade of ""c-"" or better or equivalent. an introduction to the sound system and grammar of french. focuses on the development of the four skills: understanding, speaking, reading, and writing. classes conducted in french."
FREN003,"4 units, lecture, 4 hours. prerequisite(s): fren 002 with a grade of ""c-"" or better or equivalent. an introduction to the sound system and grammar of french. focuses on the development of the four skills: understanding, speaking, reading, and writing. classes conducted in french."
FREN004,"4 units, lecture, 4 hours. prerequisite(s): fren 003 with a grade of ""c-"" or better or equivalent. continued study of the grammatical structures of french; vocabulary building; and development of reading and compositional skills. classes conducted in french."
