courseNumber,description
BMSC260A,"2 units, lecture, 2 hours per quarter; discussion, 18 hours, per quarter. prerequisite(s): consent of instructor or graduate advisor; concurrent enrollment in bmsc 232. a survey of the mechanisms of common human diseases at the molecular, cellular and organ system levels and the multidisciplinary approaches used for their investigation. instructional components include lectures, discovery in problem-based learning sessions, and independent study. may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor."
BMSC261,"1 unit, tutorial, 3 hours. prerequisite(s): graduate standing in biomedical sciences or consent of instructor experimental studies on a specific laboratory technique involved in the study of human disease. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 3 units."
BMSC297,"1 to 6 units, research, 3 to 18 hours. prerequisite(s): graduate standing in biomedical sciences or consent of instructor. directed research in biomedical sciences performed prior to advancement to candidacy in preparation for dissertation projects. graded satisfactory (s) or no credit (nc). course is repeatable."
BMSC299,"1 to 12 units, research, 3 to 36 hours. prerequisite(s): graduate standing in biomedical sciences or consent of instructor. original research in the area selected for the advanced degree. graded satisfactory (s) or no credit (nc). course is repeatable."
BMSC302,"2 units, practicum, 6 hours. prerequisite(s): graduate standing in biomedical sciences. supervised teaching in medical school courses. required for all biomedical sciences graduate students. fulfills the teaching portion of the teaching requirement for the ph.d.; four units are required for the ph.d. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 6 units."
BPHY252,"1 unit, seminar, 1 hour. prerequisite(s):  restricted to major(s) biophysics;  graduate standing;  or consent of instructor. provides oral presentations by visiting scholars, faculty, and graduate students on current research in biophysics.  students who present a seminar receive a letter grade; other students receive a satisfactory(s) no credit grade. course is repeatable."
BPHY290,"1 to 6 units, research, 3 to 18 hours. prerequisite(s):  restricted to major(s) biophysics;  graduate standing;  or consent of instructor. explores literature or research topics under the direction of a faculty member.  graded satisfactory (s) or no credit (nc). course is repeatable."
BPHY297,"1 to 6 units, research, 3 to 18 hours. prerequisite(s):  restricted to major(s) biophysics;  graduate standing;  or consent of instructor. exploratory research toward the development of the dissertation problem or other research not specifically for thesis or dissertation.  graded satisfactory (s) or no credit (nc). course is repeatable."
BPHY299,"1 to 12 units, research, 3 to 36 hours. prerequisite(s):  restricted to major(s) biophysics;  graduate standing;  or consent of instructor. original research in an area selected for the advanced degree.  graded satisfactory (s) or no credit (nc). course is repeatable."
BLKS001,"4 units, lecture, 3 hours; activity, 2 hours; extra reading, 1 hour. introduces social issues and movements impacting black peoples globally. studies creation of possibilities to navigate issues (e.g., aids and other pandemics, food and nutrition insecurity, state terror and industrial incarceration, residential segregation, exposure to environmental toxins, and health and education inequities) to create vibrant futures."
BLKS101,"4 units, lecture, 3 hours; activity, 2 hours; extra reading, 1 hour. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. examines critical theories on the intersections of gender, race, and blackness. explores analytical and political implications of such theories and interrogates relations to traditional disciplinary canons and existing forms of political organizing. probes continuities and ruptures between our planetary contemporary political moment and the cognitive apparatus that transatlantic slavery realized."
BLKS111,"4 units, lecture, 3 hours; activity, 2 hours; extra reading, 1 hour. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. examines critical terms and concepts central to black study and its connection to black becoming, black aliveness, and black life. topics include anti-blackness, the fungible, fugitivity, slavery's afterlife, neoliberalism, miserablism, social death, microaggressions, black spirituality, the dark feminine, trans and queer epistemologies, unfreedom, interlocking oppressions, racial capitalism, and black rhetoric."
BLKS142,"4 units, lecture, 3 hours; activity, 2 hours; extra reading, 1 hour. prerequisite(s):  or consent of instructor. examines the history, contemporary dynamics, key social theories, and social movements focusing on the criminal justice system. addresses the vast apparatus of surveillance and punishment that constitute its lesser-known aspects including schools, hospitals, immigration detention centers, and various technologies."
BLKS144,"4 units, lecture, 3 hours; extra reading, 1 hour; activity, 2 hours. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. examines a range of contemporary live performance makers and healers (centered in trans-indigeneity) who call us to question the construction of norms, binaries, borders, and being. focuses on healing modalities and positioning wellness and political and critical engagement as partners in accessing a radical imaginary."
BLKS145,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. explores linguistic, sociolinguistic, and sociopolitical dimensions of black language in the united states. considers the relationship between black language and blackness. critically interrogates the role of black language in classroom instruction, schools, and society. encourages liberatory learning engagements and centers the lived experiences of black language speakers.     cross-listed with educ 145."
BPSC011,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): none. an introduction for non-science and non-botany majors to the importance of plants and plant products in the shaping of human affairs and civilization. covers the origin and practice of agriculture; the utilization of plant products; the latest agricultural advances, including genetic engineering; and the current agricultural and social issues. plants and plant products are examined during class demonstrations and exercises."
BPSC060W,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005a with a grade of c- or better, engl 001b with a grade of c or better, engl 007, may be taken concurrently; for concurrent enrollment in engl 007, review the course titles or topics in the current online schedule of classes to find the corresponding engl 007 writing workshop. teaches the process of analyzing and translating scientific research into popular science stories. introduces the art of science communication through written narratives. provides resources and guidance on interpretation of scientific literature; interviewing scientists; and pursuing careers in entomology, the broader life sciences, and science writing. fulfills the third-quarter writing requirement for students who earn a grade of ""c"" or better for courses that the academic senate designates, and that the student's college permits, as alternatives to english 001c.      cross-listed with entm 060w."
BPSC097,"1 to 4 units, individual study, 3 to 12 hours. prerequisite(s): consent of instructor involves special research projects in plant biology performed under faculty supervision. requires a final written report. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 6 units."
BPSC104,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s): biol 005c. a study of the plant world from cells to ecosystems. examines the structure and function of organisms from the major plant groups and their role in the biosphere. the laboratory explores the unique properties of plants.     cross-listed with biol 104."
BPSC143,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s): biol 005a, biol 005b, biol 005c, chem 001c or chem 01hc, chem 008c and chem 08lc or chem 08hc and chem 08hlc, math 007b or math 009b or math 09hb, phys 002c or phys 02hc, phys 02lc or phys 02hlc, bch 100 or bch 110a or bch 110ha (bch 100 or bch 110a  or bch 110ha may be taken concurrently), biol 104/bpsc 104; or consent of instructor.  a survey of the fundamental principles of plant physiology including photosynthesis, respiration, water relations, mineral nutrition, growth, morphogenesis, plant hormones, dormancy, and senescence. cross-listed with biol 143."
BPSC190,"1 to 5 units, variable hours. library, laboratory or field work designed to meet special curricular needs. a written proposal signed by the supervising faculty member must be approved by the major advisor and the department vice chair. a written report must be filed. course is repeatable, but total credit toward graduation may not exceed 6 units."
BPSC197,"1 to 4 units, research, 3 to 12 hours. prerequisite(s): upper-division standing; consent of instructor. individual research conducted under the direction of a botany and plant sciences faculty member. a written proposal must be approved by the supervising faculty member and undergraduate advisor. a written report must be filed with the supervising faculty member at the end of the quarter. course is repeatable."
BPSC198I,"1 to 12 units, internship, 2 to 24 hours; written work, 1 to 12 hours. prerequisite(s): upper-division standing; consent of instructor. an off-campus internship related to plant biology. the student conducts the internship in the public or private sector but is jointly supervised by an off-campus sponsor and a faculty member in botany and plant sciences. requires an initial written proposal and a final written report. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 12 units."
BPSC199,"2 to 4 units,  laboratory, 6 to 12 hours. prerequisite(s): senior status; a gpa of 3.2 or better in upper-division courses in botany/plant science and biology; or consent of instructor. individual research on a problem relating to botany/plant science. a written proposal signed by the supervising faculty member must be approved by the major advisor and the department vice chair. a written report must be filed with the supervising faculty member. course is repeatable, but total credit toward graduation may not exceed 9 units."
BPSC200A,"2 units, lecture, 1 hour; practicum, 3 hours. prerequisite(s): graduate standing in plant biology or consent of instructor. explores plant biology research approaches.  emphasizes critical thinking and advanced planning of hypothesis testing, as well as experimental/descriptive/theoretical caveats, trade-offs, and options.  presents topics in a case-study approach.  also addresses professional development."
BPSC230,"3 units, lecture, 2 hours; discussion, 1 hour. prerequisite(s): bch 100, biol 120 or mcbl 120 or plpa 120, or equivalents; graduate standing. a study of the physiology of host-pathogen interactions with emphasis on the metabolism of diseased plants, nature of pathogenicity, and defense mechanisms in plants. cross-listed with plpa 230, cmdb 230, and gen 230."
BPSC234,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 102, stat 231b; or consent of instructor. examines statistical methods of genome analysis. topics include screening for genetic markers, linkage analysis, linkage disequilibrium, and mapping genes for complex diseases and quantitative traits. covers statistical techniques including analysis of least squares and maximum likelihood, bayesian analysis, and markov chain monte carlo algorithm. cross-listed with gen 234."
BPSC235,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): bch 100 or bch 100h or bch 110b or bch 110hb; bch 110c or bch 110hc or bch 107a; biol 102; biol 104 or bpsc 104; biol 143 or bpsc 143 or cbns 101; or their equivalents;  graduate standing;  or consent of instructor. studies the structure, function, and dynamics of plant cell division, expansion, and specialization as well as molecular and genetic mechanisms in patterning plant forms during development. emphasizes the aspects unique to plants including cytoskeletal and cell plate dynamics; intracellular trafficking and wall-dynamics; and targeting to chloroplasts and vacuoles."
BPSC250,"1 unit, seminar, 1 hour. prerequisite(s): graduate standing or consent of instructor. intensive study of selected topics in plant biology.  includes lectures by students, faculty, and invited scholars on subjects related to the principles of plant biology. students who present a seminar receive a letter grade; other students receive a satisfactory (s) or no credit (nc) grade. course is repeatable."
BPSC261,"1 unit, seminar, 1 hour. prerequisite(s): graduate standing or consent of instructor. oral reports by visiting scholars, faculty, and students on current research topics in genetics, genomics, and bioinformatics. graded satisfactory (s) or no credit (nc). course is repeatable. cross-listed with bch 261, biol 261, entm 261, plpa 261, and gen 261."
BPSC290,"1 to 6 units, individual study, 3 to 18 hours. prerequisite(s): graduate standing; and consent of instructor. library, laboratory, or field studies conducted under the direction of a faculty member. designed to meet specific curricular needs in areas of plant biology not covered by formal course work and outside of required directed dissertation or thesis research. not intended to replace bpsc 297 or bpsc 299."
BPSC291,"1 to 6 units, prerequisite(s): graduate standing. a program of study designed to advise and assist candidates who are preparing for examinations. up to 6 units may be taken prior to the master's degree. up to 12 units may be taken prior to advancement to candidacy for the ph.d. graded satisfactory (s) or no credit (nc). course is repeatable upon recommendation of the instructor."
BPSC292,"1 to 4 units, research, 3 to 12 hours. prerequisite(s): graduate standing; and consent of instructor. elected concurrently with an appropriate undergraduate course, but on an individual basis. devoted to one or more graduate projects based on research and criticism related to the course. faculty guidance and evaluation is provided throughout the quarter."
BPSC297,"1 to 6 units, research, 3 to 18 hours. prerequisite(s): graduate standing or consent of instructor. individual research conducted under the direction of a botany and plant sciences faculty member. graded satisfactory (s) or no credit (nc). course is repeatable."
BPSC299,"1 to 12 units, thesis, 3 to 36 hours. prerequisite(s): graduate standing. original research in an area selected for the advanced degree. graded satisfactory (s) or no credit (nc). course is repeatable."
BUS001,"4 units, lecture, 3 hours; workshop, 1 hour. prerequisite(s): none. provides students with tools necessary to analyze the decision to finance their ucr education with student loans. topics include personal budgets, student loans, interest rates, career planning, auto and health insurance, and other issues related to financing higher education. credit is awarded for only one of bus 001 or bus 001h."
BUS010,"4 units, lecture, 3 hours, discussion, 1 hour. prerequisite(s): none. provides an overview of the field of business administration. explores business goals and strategies, functional areas of business and their integration in policy and decision making, social responsibility, computers in business, and business trends and challenges including the international dimension."
BUS098,"2 units, lecture, 2 hours. prepares for successful internships and develops critical career management skills through greater understanding of abilities and preferences as well as available job search resources. explores career-enhancing techniques such as self-assessment, career research, resume writing, networking, interviewing, and professionalism.  graded satisfactory (s) or no credit (nc)."
BUS100W,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): engl 001b with a grade of c or better; bus 020; econ 003; stat 008; engl 007, may be taken concurrently; for concurrent enrollment in engl 007, review the course titles or topics in the current online schedule of classes to find the corresponding engl 007 writing workshop;  or consent of instructor. focuses on writing and communication methods in the business environment. topics include written and oral presentations, interpersonal skills, teamwork in the multicultural setting, and effective use of communication technologies. fulfills the third-quarter writing requirement for students who earn a grade of ""c"" or better for courses that the academic senate designates, and that the student's college permits, as alternatives to english 001c."
BUS101,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): bus 020; econ 003; stat 008; or equivalent;  or consent of instructor. topics include computer hardware and software, business data processing, databases, telecommunications, systems analysis and design, cost-benefit analysis, and systems applications in business. includes database and spreadsheet projects."
BUS102,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): bus 020; econ 003; stat 008; or equivalent;  or consent of instructor. analyzes the legal, ethical, political, and social aspects of the business environment. topics include ethics and social responsibility, government regulation, corporate governance, and global management issues."
BUS103,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): bus 020; econ 003 or econ 003h, stat 008;  or consent of instructor. an introduction to the role of marketing in society emphasizing concepts, marketing methods, and institutions."
BUS105,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): stat 008 or stat 010; or equivalent. addresses the issues of design and control of production systems in manufacturing and service organizations. covers product and process selection, capacity planning, location and layout design, project and job scheduling, inventory control, material planning, and quality control."
BUS106,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): bus 020; econ 003 or econ 003h; stat 008 or econ 101; or equivalent;  or consent of instructor. an introduction to financial management and financial institutions. includes time value of money, stock and bond valuation, risk and return, portfolio theory, capital budgeting, capital structure, dividend policy, and financial databases.     cross-listed with econ 134.  credit is awarded for one of the following  bus 106,  econ 134, or bus 133."
BUS107,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): bus 020; econ 003; stat 008; or equivalent;  or consent of instructor. studies organizations from the behavioral science perspective.  topics include motivation, leadership, communication, groups, organization structure and culture, and control in complex organizations."
BUS108,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): bus 020; econ 003; stat 008; or equivalents;  or consent of instructor. a study of accounting data used for managerial planning and controlling of business operations. provides an introduction to manufacturing operations and cost accounting systems, cost-volume-profit analysis, relevant costing, standard costing and variance analysis, and budgeting."
BUS109,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): bus 100w; bus 103; bus 108; bus 106 or econ 134 or bus 133;  restricted to major(s) business administration. provides an understanding of strategic decision-making processes in organizations, the interrelationships among functional areas, and how decision making is affected by internal and external environments."
BUS114,"4 units, lecture, 3 hours; research, 2 hours; term paper, 1 hour. prerequisite(s): bus 103. covers the theory and practice of marketing across national borders. provides an understanding of global marketing environments and examines the development of marketing strategies to maximize growth of global companies."
BUS116,"4 units, lecture, 3 hours; research, 3 hours. prerequisite(s): bus 103 or consent of instructor. integrates theory and practice into a framework for making pricing decisions.  prepares for addressing strategic and tactical pricing issues. topics include customer demand and price sensitivity, psychological reaction to price, segmented pricing, price promotions, bundling, online pricing, dynamic pricing, competitive reaction, profitability analysis, and pricing strategy development."
BUS118,"4 units, lecture, 3 hours; activity, 3 hours. prerequisite(s): bus 103. an introduction to the role of digital marketing in business-to-consumer and business-to-business marketing. covers the application of traditional marketing principles to an electronic commerce environment and new digital marketing techniques made possible by this environment."
BUS123,"4 units, lecture, 3 hours; written work, 3 hours. prerequisite(s): bus 104 or stat 104. introduces the fundamental techniques of using data to make informed management decisions in the presence of uncertainty. utilizes advanced microsoft excel functionality."
BUS124A,"4 units, lecture, 3 hours; activity, 3 hours. prerequisite(s): stat 008 or stat 010 or econ 101. provides fundamental concepts and tools needed to understand the emerging role of business analytics in organizations. applies basic business analytics tools in a spreadsheet environment. introduces market-leading techniques that help identify and manage key data from business processes. provides the essential tools required for data mining and business process re-engineering."
BUS126,"4 units, lecture, 3 hours; activity, 3 hours. prerequisite(s): bus 105;  or consent of instructor. teaches how forecasts are developed and utilized. emphasizes common forecasting methods used in business and uses specific cases to illustrate these methods. applications to business include forecasting sales, production, inventory, macroeconomic factors such as interest and exchange rates, and other aspects of both short- and long-term business planning."
BUS128,"4 units, lecture, 3 hours; assigned problems and field project, 3 hours. prerequisite(s): bus 104/stat 104 or consent of instructor. covers issues related to planning and control. explores the differences between projects and production systems; breakdown structures of project organization and work; sequencing and budgeting; resource management; project evaluation and control; and use of current project management software. includes application of methodology to a real-world project."
BUS132,"4 units, lecture, 3 hours; written work, 3 hours. prerequisite(s): bus 020; stat 008 or stat 010 or econ 101; econ 102 or econ 103 or econ 104a or econ 105a. covers the mathematical and economic foundations of finance. topics include intertemporal production and consumption; fisher separation; risk and return; two-fund separation; standard asset-pricing models; arbitrage; derivatives concepts and parity relationships; and international finance parity relationships.     credit is awarded for one of the following  bus 132 or bus 133."
BUS134,"4 units, lecture, 3 hours; term paper, 2 hours; extra reading, 1 hour. prerequisite(s): bus 133 with a grade of c- or better; 2 of the following: econ 134, bus 106, bus 132. explores capital budgeting under uncertainty, cost of capital, capital structure, and basics of corporate governance. may cover other related topics. provides an understanding of the theoretical issues related to these topics. emphasizes formulating optimal financial decisions. may include case-method teaching and data analysis."
BUS138,"4 units, lecture, 3 hours; extra reading, 2 hours; activity, 1 hour. prerequisite(s): bus 133 with a grade of c- or better or bus 132 with a grade of c- or better; bus 106 or econ 134. a survey of international financial institutions and the financial factors that affect the modern multinational corporation. covers trade and international investment theories and empirical analysis. topics include the international financial systems, balance of payments, foreign exchange markets, measurement of foreign exchange risk, hedging, international asset pricing, and trade financing."
BUS144,"4 units, lecture, 3 hours; research, 3 hours. prerequisite(s): bus 107. develops an understanding of the theory and processes underlying a broad spectrum of negotiation problems. attains competency in negotiations by applying analytic and interpersonal skills covered in readings and lecture to regular exercises and debriefings."
BUS149,"4 units, lecture, 3 hours; activity, 3 hours. prerequisite(s): bus 107;  or consent of instructor. covers advanced topics in management and decision-making. includes incentives and motivation, social labor, the psychology of money, competition and markets, grey marketing and revenge, dishonesty and cheating, decision-making in groups, other-regarding preferences, and welfare inferences and well-being."
BUS152,"4 units, lecture, 3 hours; research, 1 hour; written work, 2 hours. prerequisite(s): bus 103. discusses strategic and tactical aspects of sales force management including sales force planning, deployment, compensation, and control. also covers selling strategies and managing of customer relationships."
BUS153,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s): econ 102 or econ 104a. an analysis of labor demand, labor supply, market equilibrium, and policies affecting each. topics include labor supply, labor demand, minimum wages, government transfers, education, job training, and discrimination.     cross-listed with econ 153."
BUS154,"4 units, lecture, 3 hours; extra reading, 1.5 hours; term paper ,1.5 hours. prerequisite(s): upper-division standing. studies law as an integral part of the business environment, a process derived from and changing with the larger society. areas covered include contracts, torts, agency, partnerships, corporations, and bankruptcy."
BUS155,"4 units, lecture, 3 hours; activity, 3 hours. prerequisite(s): bus 107;  or consent of instructor. applies a strategic planning approach to managing relations between an organization and its human resources. topics include processes of forecasting and job analysis, environmental scanning, recruitment and selection, evaluation and compensation, and dispute resolution."
BUS168A,"4 units, lecture, 3 hours; extra reading, 2 hours; projects, 1 hour. prerequisite(s): bus 108 or equivalent. concentrates primarily on the basic provisions of the federal income taxes imposed on individuals and the accounting for those taxes. while the major emphasis is on current tax provisions and tax planning, consideration is also given to the legislative and judicial development of these provisions."
BUS172,"4 units, lecture, 3 hours; assigned cases and project, 3 hours. prerequisite(s): bus 103; econ 003 or econ 003h. discusses economic concepts and strategies related to the network economy. topics include economic issues surrounding information goods, competition in electronic business, pricing strategies, and intellectual property protections. examines business strategies for the information (software) and infrastructure (hardware) elements of electronic business."
BUS173,"4 units, lecture, 3 hours; extra reading, 2 hours; projects, 1 hour. prerequisite(s): bus 101 or equivalent. covers physical and conceptual aspects of database management systems, including familiarity with the variety of database systems based on different data models. examines the role of database systems in management information systems (mis) and issues in database design for effective support of mis. requires the use of a database package."
BUS174,"4 units, lecture, 3 hours; extra reading, 2 hours; project, 1 hour. prerequisite(s): bus 101. reviews the technological evolution of electronic commerce (ec). investigates how ec can be used to interact with customers, other organizations, and those within the organization. studies technical innovations, provides a critical evaluation of strategies, and examines current applications and their impact on the business environment."
BUS175,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): bus 101. surveys components of telecommunication systems; examines major design and analysis issues in the development and implementation of computer communication systems. studies both voice and data communication systems including local area networks, wireless systems, satellite systems, and distributed computer and database systems. emphasizes evaluation of these systems for business purposes."
BUS177,"4 units, lecture, 3 hours; extra reading, 1 hour; written work, 1 hour; research, 1 hour. prerequisite(s): bus 010. explores the foundation of knowledge regarding labor in the united states. emphasizes the historical development of unionism, labor legislation, union structure, bargaining issues, contract negotiations and administration, and labor-management relations."
BUS178,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s): econ 102 or econ 104a. a study of the pure theory of trade, trade policy, and international factor movements.  includes illustrative applications to current issues and problems. cross-listed with econ 178."
BUS198,"1 unit, activity, 3 hours. prerequisite(s): permission needed from the department;  restricted to class level standing of sophomore, junior, or  senior. an opportunity for ucr undergraduate students to develop leadership skills, innovate the undergraduate curriculum, and promote democratic, experiential education. original course topics are variable and unique from other departmental course offerings, designed to highlight the student facilitators' expertise while working closely with a faculty mentor.  graded satisfactory (s) or no credit (nc). course is repeatable as content or topic changes to a maximum of 8 units."
BUS198I,"1 to 12 units, seminar, 1 hour; internship, 3 to 36 hours; term paper, 1 to 11 hours. prerequisite(s):  restricted to class level standing of junior, or  senior;  restricted to major(s) business administration;  and consent of instructor. provides active participation in the work of a business concern or a public or quasi-public agency. combines academic instruction and supervised field experience. a maximum of 4 quarter units may be counted toward the degree requirements for business administration.   course is repeatable to a maximum of 16 units."
CHFY007,"2 units, workshop, 3 hours. prerequisite(s): restricted to college of humanities, arts, and social sciences;  restricted to class level standing of freshman, or  sophomore. a workshop linked to a chass f1rst learning community lecture course.  graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 6 units."
CAH003,"4 units, lecture, 4 hours. prerequisite(s): cah 002 with a grade of c- or better. an introduction to the cahuilla language. focuses on further development of listening, speaking, and writing. also explores cahuilla culture and the sociopolitical aspects of learning and speaking a native american language."
CBNS010,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): none. introduction to contemporary neuroscience. topics include foundational principles of brain organization, nerve and glial cell form and function, synaptic transmission, and the neural mechanisms underlying human behavior and physiology.  discusses neuroscience methods and neurological diseases and disorders.  intended for non-science majors.  science majors are not encouraged to take this course.      credit is not awarded for cbns 010 if it has already been awarded for cbns 106 or psyc 110."
CBNS101,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): chem 008c and chem 08lc or chem 08hc and chem 08hlc and bch 100 or bch 110a or bch 110ha (bch 100 or bch 110a or bch 110ha may be taken concurrently).  introduces the principles of eukaryotic cell biology.  includes an examination of the molecules and systems that mediate cell function and an overview of membrane architecture and function, cell signaling and signal transduction, the cytoskeleton, organelles, protein targeting and secretion, and the nucleus and nuclear transport.  credit is not awarded for cbns 101 if it has already been awarded for biol 113 or biol 114."
CBNS120L,"4 units, lecture, 1 hour; discussion, 1 hour; laboratory, 3 hours; written work, 3 hours. prerequisite(s): cbns 120, may be taken concurrently or psyc 120, may be taken concurrently;  or consent of instructor. laboratory experiments using electrophysiological, chemical, and anatomical research methods fundamental to understanding neurons and neural systems.     cross-listed with psyc 120l."
CBNS128,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005c; phys 002c or phys 02hc; phys 02lc or phys 02hlc; bch 100 or bch 110a or bch 110ha. a study of humoral and cellular immunology. topics include lymphoid systems, cells, antigens, antibodies, antibody formation, cellular immunity, and tumor and transplantation immunology. discusses in detail diseases and altered immune states associated with each topic.     cross-listed with biol 128."
CBNS197,"1 to 4 units,  research, 3 to 12 hours. prerequisite(s): either sophomore standing and one course in cell biology and neuroscience or upper-division standing; consent of instructor an introduction to laboratory research conducted under faculty supervision. students who submit a written report or give an oral presentation receive a letter grade; other students receive a satisfactory (s) or no credit (nc) grade. course is repeatable."
CBNS198I,"1 to 12 units, internship, 2 to 24 hours; written work, 1 to 12 hours. prerequisite(s): consent of instructor. explores career development within the context of cell, molecular, and developmental biology or health sciences.  includes supervision by an off-campus sponsor and an on-campus faculty member. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 12 units."
CBNS199,"1 to 4 units,  research, 3 to 12 hours. prerequisite(s): senior standing; consent of instructor. original research undertaken under the direction of a faculty member. students who submit a written report or give an oral presentation receive a letter grade; other students receive a satisfactory (s) or no credit (nc) grade. course is repeatable."
CBNS240,"1 or 2  units, seminar, 1 or 2 hours. prerequisite(s):  graduate standing; and consent of instructor. discusses current research and publications focused on rationale, scientific premise, rigor in experimental design, and statistical methods in the area of specialization of faculty.  provides sustained discipline-specific training in hypothesis testing, critical thinking, bioethics, and professionalism.  content varies accordingly. intended for life science majors.  graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 56 units."
CMDB203,"4 units, lecture, 2 hours; discussion, 2 hours. prerequisite(s): biol 102 or equivalent; graduate standing or consent of instructor. examines essential concepts in modern genetics.  focuses on universal principles of genetic analysis in prokaryotic and eukaryotic model organisms, emphasizing underlying concepts and logic.  develops skills reading primary scientific literature and critical thinking through analysis of landmark papers. cross-listed with gen 203."
CMDB208,"2 units, seminar, 2 hours. prerequisite(s):  graduate standing;  or consent of instructor. introduces stem cell ethics emphasizing moral, legal, and social issues in stem cell research."
CMDB230,"3 units, lecture, 2 hours; discussion, 1 hour. prerequisite(s): bch 100, biol 120 or mcbl 120 or plpa 120, or equivalents; graduate standing. a study of the physiology of host-pathogen interactions with emphasis on the metabolism of diseased plants, nature of pathogenicity, and defense mechanisms in plants. cross-listed with plpa 230, bpsc 230, and gen 230."
CMDB257,"1 unit, seminar, 1 hour. prerequisite(s): graduate standing. presentations by visiting scholars, cmdb faculty, and cmdb students on current research in cell, molecular, and developmental biology. students who present a seminar receive a letter grade; other students receive a satisfactory (s) or no credit (nc) grade. course is repeatable to a maximum of 30 units."
CMDB297,"1 to 6 units, research, 3 to 18 hours. prerequisite(s): graduate standing. research and experimental studies conducted under the supervision of a faculty member on specially selected topics in cell, molecular, and developmental biology. graded satisfactory (s) or no credit (nc). course is repeatable."
CMDB299,"1 to 12 units, research, 3 to 36 hours. prerequisite(s): graduate standing. original research in an area selected for the advanced degree. graded satisfactory (s) or no credit (nc). course is repeatable."
CHE110A,"3 units, lecture, 2 hours; discussion, 1 hour. prerequisite(s): chem 001c, math 009c, phys 040b or phys 040hb; or consent of instructor introduces the principles of conservation of mass in chemical process systems. topics include the development of steady-state mass balances, and application of mass balances to existing industrial processes."
CHE114,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): che 110a or enve 171, math 010a, math 046, phys 040b or phys 040hb; or consent of instructor. an introduction to fluid statics, fluid flow, and flow of compressible and incompressible fluids in conduits and open-channel flow. also covers flow past immersed bodies, transportation and metering of fluids, and agitation and mixing of liquids. credit is awarded for only one of che 114 or me 113."
CHE124,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): bch 110ha or bch 110a; che 120, che 122. examines the principles of biochemical engineering. topics include kinetics of enzymatic reactions and microbial growth, batch and continuous culture reactors, product formulation, and nutrient utilization. also studies oxygen transfer, bioreactor scale-up, air and media sterilization, fundamentals of bioreactor design, and bioseparations."
CEE010,"1 unit, lecture, 1 hour. prerequisite(s): none. an introduction to chemical and environmental engineering for engineering and nonengineering majors. aims to enrich an appreciation of chemical, biochemical, and environmental engineering. discusses typical careers, key applications, latest developments and the need to engage in lifelong learning in the field. graded satisfactory (s) or no credit (nc)."
CEE158,"3 units, lecture, 3 hours. prerequisite(s): upper-division standing. a review of various topics relevant to the professional development of chemical engineers. includes career paths; interview strategies; professional registration and preparation for certification examinations; ethics; risk management and environmental health and safety; regulatory issues; and lifelong learning."
CEE197,"1 to 4 units,  research, 3 to 12 hours. prerequisite(s): consent of instructor and chemical and environmental engineering undergraduate program advisor. directed research on a topic relevant to chemical and environmental engineering.  requires a final written report. course is repeatable to a maximum of 8 units."
