courseNumber,courseReferenceNumber,courseTitle,subjectDescription,description
BIOL05LA,10916,INTRODUCTION TO CELL AND MOLECULAR BIOLOGY LABORATORY,Biology,"1 unit, laboratory, 3 hours. prerequisite(s): biol 005a (may be taken concurrently); consent of instructor is required for students repeating the course. an introduction to laboratory exercises on fundamental principles of and techniques in cell and molecular biology. illustrates the experimental foundations of the topics covered in biol 005a. credit is awarded for only one of biol 020 or biol 05la."
BIOL100,10934,GENERAL ENTOMOLOGY,Biology,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s): biol 005c with a grade of c- or better;  restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. introductory study of insects, earth's most diverse group of animals (75 percent of animal species are insects). covers the anatomy, physiology, ecology, behavior, and diversity of insects. focuses on insect identification.     cross-listed with entm 100."
BIOL102,10937,INTRODUCTORY GENETICS,Biology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005a, biol 020 or biol 05la, and biol 005b with grades of ""c-"" or better. an introductory course that includes classical mendelian genetics, linkage and recombination, sex-linked traits, cytogenetics, developmental genetics, and molecular genetics. also includes some probability theory and statistics."
BIOL104,10950,FOUNDATIONS OF PLANT BIOLOGY,Biology,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s): biol 005c. a study of the plant world from cells to ecosystems. examines the structure and function of organisms from the major plant groups and their role in the biosphere. the laboratory explores the unique properties of plants.     cross-listed with bpsc 104."
BIOL105,23308,EVOLUTION,Biology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005c with a grade of ""c-"" or better, biol 102, chem 008c and chem 08lc, or chem 08hc and chem 08hlc, math 007b or math 009b or math 09hb; phys 002c or phys 02hc; phys 02lc or phys 02hlc, bch 100 or bch 110a or bch 110ha, one course in statistics; or consent of instructor. covers the causal interpretation of organic diversity and adaptation. topics include inference of evolutionary change from the fossil record and from genomic and molecular patterns; microevolution and macroevolution; systematics and the species problem; and natural selection, drift, and other forces of evolution."
BIOL107A,23309,MOLECULAR BIOLOGY,Biology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005a, biol 005b, biol 005c; chem 001c or chem 01hc; chem 008c and chem 08lc, or chem 08hc and chem 8hlc; math 007b or math 009b or math 09hb; phys 002c or phys 02hc; phys 02lc or phys 02hlc; bch 100 or bch 110a or bhc 110ha.  the study of the structure and function of the genetic material, including dna structure, dna replication and recombination, regulation of gene expression, and protein synthesis. examines both prokaryotic and eukaryotic systems including contemporary recombinant dna technology and applications of molecular cloning procedures. credit is not awarded for biol 107a if it has already been awarded for bch 110c."
BIOL108,24506,POPULATION GENETICS AND GENOMICS,Biology,"4 units, lecture, 3 hour; discussion and demonstration, 1 hour. prerequisite(s): biol 005a, biol 005b, biol 005c, chem 001c or chem 01hc, chem 008c and chem 08lc, or chem 08hc and chem 08hlc, math 007b or math 009b or math 09hb, phys 002c or phys 02hc, phys 02lc or phys 02hlc, one course in statistics. a study of factors influencing genomic variation in biological populations. topics include the effects of natural selection and genetic drift on genetic variation, detecting adaptive change from genomic data, why genetic diseases and cancers persist, the evolution of co-operation, adaptation to pathogens and to a changing environment, and the genetic challenges faced by small conserved populations."
BIOL110,27747,BIOLOGY OF HUMAN PROBLEMS,Biology,"4 units, seminar, 4 hours. prerequisite(s): biol 005a, biol 005b, biol 005c; chem 001c or chem 01hc; chem 008c and chem 08lc, or chem 08hc and chem 08hlc; math 007b or math 009b or math 09hb; phys 002c or phys 02hc, phys 02lc or phys 02hlc; bch 100 or bch 110a or bch 110ha; one course in statistics.  devoted to selected human problems that have a large biological component and relate to medicine, ethics, and human existence. topics covered vary and include issues of major bioethical importance such as euthanasia, national health care, effects of industrial pollution on individuals and communities, population problems, abortion, and genetic engineering."
BIOL116,23474,ECOLOGY AND CONSERVATION BIOLOGY,Biology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005c with a grade of c- or better; chem 001c or chem 01hc; math 007b or math 09hb or math 009b;  or consent of instructor. introduces principles of ecology emphasizing the implications for the conservation of biodiversity. topics include physiological ecology, organismal adaptations to the environment, life histories, the niche concept, population growth, interspecific interactions, and the structure and functioning of communities and ecosystems.  also covers topics in applied ecology and conservation biology."
BIOL118,30704,METHODS IN MOLECULAR ECOLOGY AND EVOLUTION,Biology,"4 units, lecture, 2 hours; discussion, 1 hour; laboratory, 3 hours. prerequisite(s): biol 005c with a grade of c- or better; chem 008c or chem 08hc; chem 08lc or chem 08hlc; math 007b or math 009b or math 09hb; phys 002c or phys 02hc, phys 02lc or phys 02hlc; stat 010; bch 100 or bch 110a or bch 110ha. covers theory, techniques, and analytical methods for interpreting patterns of genetic variation based on current high-throughput dna sequencing technology. topics include genotype calling, analysis of population structure, genome-wide association studies, and phylogenetic inference using modern computational methods. includes laboratory techniques for sequencing library preparation."
BIOL119,23482,INTRODUCTION TO GENOMICS AND BIOINFORMATICS,Biology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005c with a grade of c- or better; biol 102; chem 001c or chem 01hc; chem 008c or chem 08hc; chem 08lc or chem 08hlc; math 007b or math 009b or math 09hb; phys 002c or phys 02hc; phys 02lc or phys 02hlc; bch 100 or bch 100h or bch 110a or bch 110ha. an introduction to the science of genomics and bioinformatics.  includes genome sequencing; database techniques; structural, comparative, and evolutionary genomics; and microarray analysis."
BIOL120,23510,INTRODUCTION TO PLANT PATHOLOGY,Biology,"3 units, lecture, 3 hours. prerequisite(s): biol 005c; math 007b or math 009b or math 09hb; phys 002c or phys 02hc; phys 02lc or phys 02hlc; bch 100 or bch 110a or bch 110ha; stat 004, or equivalent. an introduction to the study of plant diseases. topics include diseases and disease-causing agents, host-pathogen interaction during disease development, and strategies for disease management. an optional, separate laboratory is offered.     cross-listed with mcbl 120, and plpa 120.  credit is awarded for one of the following  plpa 120,  biol 120,  mcbl 120, or plpa 210."
BIOL121,23499,INTRODUCTORY MICROBIOLOGY,Biology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005a; biol 05la or biol 020; biol 005b; biol 005c; chem 001c or chem 01hc; math 007b or math 009b or math 09hb; phys 002a, may be taken concurrently or phys 02ha, may be taken concurrently; phys 02la, may be taken concurrently or phys 02hla, may be taken concurrently; bch 100, may be taken concurrently or bch 110a, may be taken concurrently or bch 110ha, may be taken concurrently; stat 010;  or consent of instructor. an intensive introduction to the fundamental physiology and molecular biology of bacteria and viruses. covers bacterial and viral molecular genetics, an introduction to microbial pathogenesis, and applications of microbiology in modern societies.     cross-listed with mcbl 121.  credit is awarded for one of the following  mcbl 121,  biol 121, or mcbl 131."
BIOL121L,34223,MICROBIOLOGY LABORATORY,Biology,"3 units, lecture, 1 hour; laboratory, 6 hours. prerequisite(s): biol 121 with a grade of c- or better or mcbl 121 with a grade of c- or better. laboratory exercises in diagnostic bacteriology, basic virology, and epidemiology. includes fundamental quantitative and diagnostic microbiological procedures, basic mechanisms of microbial genetic exchange, and a project examining bacterial epidemiology.     cross-listed with mcbl 121l.  credit is awarded for one of the following  mcbl 121l,  biol 121l, or mcbl 131l."
BIOL127,37697,INSECT ECOLOGY,Biology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005c; math 007b or math 009b or math 09hb; phys 002c or phys 02hc; phys 02lc or phys 02hlc; bch 100 or bch 110a or bch 110ha; stat 010, or equivalent;  or consent of instructor. introduces principles of insect ecology with examples emphasizing the arthropoda. topics include factors governing population growth; ecological and evolutionary interactions with hosts, competitors, and natural enemies; structure of ecological communities; and adaptations to different environments.     cross-listed with entm 127."
BIOL128,37148,IMMUNOLOGY,Biology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005c; phys 002c or phys 02hc; phys 02lc or phys 02hlc; bch 100 or bch 110a or bch 110ha. a study of humoral and cellular immunology. topics include lymphoid systems, cells, antigens, antibodies, antibody formation, cellular immunity, and tumor and transplantation immunology. discusses in detail diseases and altered immune states associated with each topic.     cross-listed with cbns 128."
BIOL143,24372,PLANT PHYSIOLOGY,Biology,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s): biol 005a, biol 005b, biol 005c, chem 001c or chem 01hc, chem 008c and chem 08lc or chem 08hc and chem 08hlc, math 007b or math 009b or math 09hb, phys 002c or phys 02hc, phys 02lc or phys 02hlc, bch 100 or bch 110a or bch 110ha (bch 100 or bch 110a or bch 110ha may be taken concurrently), biol 104/bpsc 104; or consent of instructor. a survey of the fundamental principles of plant physiology including photosynthesis, respiration, water relations, mineral nutrition, growth, morphogenesis, plant hormones, dormancy, and senescence. cross-listed with bpsc 143."
BIOL157,23520,PARASITOLOGY,Biology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005a, biol 005b, biol 005c, chem 001c or chem 01hc, chem 008c and chem 08lc or chem 08hc and chem 8hlc, math 007b or math 009b or math 09hb, bch 100 or bch 110a or bch 110ha, one course in statistics. surveys the biology of protozoan and helminth interactions with their human hosts."
BIOL162,11026,INSECT BEHAVIOR,Biology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005c with a grade of c- or better or biol 100 with a grade of c- or better or entm 100 with a grade of c- or better;  restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. an analysis of the mechanisms that cause and control behavioral reactions of insects. emphasizes ethological and physiological knowledge concerning orientation mechanisms, communication systems, learning, and the role of the nervous system in integrating behavior in insects.     cross-listed with entm 162."
BIOL163,23581,VERTEBRATE NATURAL HISTORY,Biology,"5 units, lecture, 3 hours; laboratory, 6 hours. prerequisite(s): biol 005b; biol 005c; chem 001c or chem 01hc; math 007b or math 009b or math 09hb. topics include ecology, evolution, and behavior of birds, mammals, reptiles, and amphibians. laboratory covers systematics, morphology, and identification. includes indoor labs and field trips to local habitats."
BIOL166,32694,GLOBAL CHANGE BIOLOGY,Biology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 116 with a grade of c- or better; chem 008c, chem 08lc or chem 08hc, chem 08hlc; phys 002c, phys 02lc or phys 02hc, phys 02hlc; bch 100 or bch 110a or bch 110ha; stat 010;  or consent of instructor. explores how global environmental change affects the ecology, physiology, behavior, and evolution of organisms. topics include global change and its drivers including rising co2, nitrogen deposition, temperature, and habitat alteration. illustrates how organismal responses scale up to influence species interactions, ecological communities, and ecosystem processes."
BIOL171A,37832,HUMAN ANATOMY,Biology,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s): biol 005c; chem 001c or chem 01hc; chem 01lc or chem 1hlc; chem 008b or chem 08hb; chem 08lb or chem 08hlb; math 007b or math 009b or math 09hb; phys 002b or phys 02hb; phys 02lb or phys 02hlb. introduction to the structure of the human body using the an organ-systems approach. emphasizes an overview of the major elements of human anatomy, a brief introduction to function (i.e., physiology), and the relationships among organs and organ systems. labs provide hands-on identification of human anatomy."
BIOL177,38259,EXERCISE BIOLOGY,Biology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005b;  or consent of instructor. an introduction to exercise biology. integrative topics include neuromuscular function and fatigue, bioenergetics, adaptation to training, cardiorespiratory responses to acute and long-term exercise, environmental physiology, exercise capacity among disparate vertebrate groups, aging, and the comparative biomechanics of exercise. illustrates applications to human health and sports."
BIOL190,35291,SPECIAL STUDIES,Biology,"1 to 4 units, individual study, 3 to 12 hours. prerequisite(s): consent of instructor and departmental chairperson. to be taken as a means of meeting special curricular needs. grading basis to be selected in consultation with the instructor and departmental chairperson. course is repeatable."
BIOL194,11069,INDEPENDENT READING,Biology,"1 to 4 units, research, 3 to 12 hours. prerequisite(s): consent of instructor. independent study under supervision of members of the faculty. course is repeatable to a maximum of 6 units."
BIOL197,34936,INTRODUCTION TO RESEARCH,Biology,"1 to 2 units, consultation, 1 to 2 hours. prerequisite(s): sophomore, junior or senior standing and consent of instructor and departmental chairperson. reading, planning and preliminary laboratory work to develop a research project suitable for biol 199, junior/senior research. graded satisfactory (s) or no credit (nc).  course is repeatable."
BIOL199,36790,JUNIOR/SENIOR RESEARCH,Biology,"1 to 4 units, laboratory, 1 to 4 hours. prerequisite(s): junior or senior standing, a minimum gpa of 3.0 and consent of instructor and departmental chairperson. special problems and research in biology performed under the supervision of members of the faculty of the department of biology. graded satisfactory (s) or no credit (nc). course is repeatable."
BIOL201,11151,MOLECULAR BIOLOGY,Biology,"4 units, lecture, 3 hours; seminar, 1 hour. prerequisite(s): bch 110a or bch 110b or equivalent (may be taken concurrently); biol 102 or equivalent; biol 107a or equivalent; graduate standing. covers the structure and inheritance of genetic material, the regulation of gene expression at the cellular and molecular level including molecular mechanisms for regulation of gene transcription, posttranscriptional regulation at the level of messenger rna stability, processing, editing and translation, methods for gene mapping, and positional cloning. cross-listed with cmdb 201."
BIOL221,11152,MICROBIAL GENETICS,Biology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): bch 110c or biol 107a; biol 102; graduate standing. in-depth coverage of the genetics of microbes. emphasizes the primary data and the foundation of modern techniques using viruses, archaea, prokaryotes, and eukaryotes. includes genome sequences and organization, plasmids and other vectors, and mutation and genetic screens. also covers transposable elements, recombination, and regulation of gene expression, development, and pathogenesis. cross-listed with mcbl 221, and plpa 226."
BIOL250,11158,SPECIAL TOPICS IN BIOLOGY,Biology,"1 to 2 units, seminar, 1 to 2 hours. prerequisite(s): graduate standing and consent of instructor. oral presentations and intensive small-group discussion of selected topics in the area of special competence of each staff member. course content will emphasize recent advances in the special topic area and will vary accordingly. graded satisfactory (s) or no credit (nc). may be repeated for credit."
BIOL252,11174,GENERAL COLLOQUIUM IN BIOLOGY,Biology,"1 unit, seminar, 1 hour; discussion, 1 hour. prerequisite(s): graduate standing oral reports by visiting scholars on current biological research. graded satisfactory (s) or no credit (nc). may be repeated for credit."
BIOL261,11175,"SEMINAR IN GENETICS, GENOMICS, AND BIOINFORMATICS",Biology,"1 unit, seminar, 1 hour. prerequisite(s): graduate standing or consent of instructor. oral reports by visiting scholars, faculty, and students on current research topics in genetics, genomics, and bioinformatics. graded satisfactory (s) or no credit (nc). course is repeatable. cross-listed with bch 261, bpsc 261, entm 261, plpa 261, and gen 261."
BIOL289,11178,SPECIAL TOPICS IN NEUROSCIENCE,Biology,"2 units, seminar, 2 hours. prerequisite(s): graduate standing or consent of instructor. an interdisciplinary seminar consisting of student presentations and discussion of selected topics in neuroscience. content and instructor(s) vary each time course is offered. students who present a seminar receive a letter grade; other students receive a satisfactory (s) or no credit (nc) grade. course is repeatable. cross-listed with bch 289, chem 289, entm 289, nrsc 289, and psyc 289."
BIOL301,20482,TEACHING OF BIOLOGY AT THE COLLEGE LEVEL,Biology,"1 unit, seminar, 1 hour. prerequisite(s): graduate standing. a program of weekly meetings and individual formative evaluations required of new biology teaching assistants. covers instructional methods and classroom/section activities most suitable for teaching biology. conducted by the ta development program. graded satisfactory (s) or no credit (nc)."
BMSC094,33007,INDEPENDENT READING,Biomedical Sciences,"1 to 2 units, consultation, 1 to 2 hours. prerequisite(s): consent of instructor. independent study under faculty supervision.  possible topics include modern approaches to the pathophysiology of disease, delivery of medical care to the community, or current medical education. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 4 units."
BMSC097,35344,RESEARCH TUTORIAL IN BIOMEDICAL SCIENCES,Biomedical Sciences,"1 to 2 units, laboratory, 3 to 6 hours. prerequisite(s): grade point of 3.0 and consent of instructor. laboratory tutorial in research related to biomedical sciences. to provide laboratory experience in the areas of physiology, microbiology, molecular biology, pharmacology, cell biology, immunology, biochemistry for exceptional lower-division students. a written report is required at the end of each quarter. graded satisfactory (s) or no credit (nc). may be repeated for up to 6 units."
BMSC194,11198,INDEPENDENT READING,Biomedical Sciences,"1 to 2 units, discussion, 1 hour; research, 2 to 3 hours. prerequisite(s): upper-division standing and consent of instructor and divisional dean independent study involving library projects on topics related to biomedical sciences. independent study will be conducted under faculty supervision. a written report to be graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 4 units."
BMSC197L,35258,RESEARCH FOR UNDERGRADUATES,Biomedical Sciences,"1 to 3 units, laboratory, 3 to 9, hours. prerequisite(s): upper-division standing (completion of 90 quarter units) and consent of instructor. an introduction to the methods of research in biomedical sciences. the student will conduct investigation in an area of biomedical sciences under the supervision of a division of biomedical sciences faculty member and submit a written report on his/her work. course is repeatable."
BMSC202,36949,MOLECULAR BASIS OF DISEASE,Biomedical Sciences,"3 units, lecture, 2 hours; discussion, 1 hour. prerequisite(s):  graduate standing;  or consent of instructor. discusses the molecular basis of disease emphasizing new developments and the broad application of approaches and techniques.   course is repeatable."
BMSC232,11232,"CARDIOVASCULAR, RENAL, AND RESPIRATORY SCIENCES I",Biomedical Sciences,"12 units, lecture, 107 hours per quarter; discussion, 9 hours per quarter; laboratory, 19 hours per quarter. prerequisite(s): bmsc 229 or bmsc 231; restricted to major(s) biomedical sciences, medicine; graduate standing; or consent of instructor. covers physiology, pathophysiology, physical diagnosis, and imaging in the cardiovascular, renal, and respiratory sciences. instruction is driven by cases and accomplished through lectures and discovery in small group discussions, laboratories, and conferences. may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor."
BMSC251,36951,COLLOQUIUM IN BIOMEDICAL SCIENCES,Biomedical Sciences,"1 unit, colloquium, 1 hour. prerequisite(s): graduate standing in biomedical sciences or consent of instructor. specialized discussions by staff and students of current research topics in biomedical sciences. graded satisfactory (s) or no credit (nc). course is repeatable."
BMSC252,11235,GENERAL SEMINAR IN BIOMEDICAL SCIENCES,Biomedical Sciences,"1 units, seminar, 1 hours. prerequisite(s): graduate standing. oral presentations by staff and visiting scholars on current research topics in the field of biomedical sciences. graded satisfactory (s) or no credit (nc). course is repeatable."
BMSC254,11236,GRADUATE SEMINAR IN BIOMEDICAL SCIENCES,Biomedical Sciences,"1 unit, seminar, 1 hour. prerequisite(s): graduate standing. oral reports by graduate students on current research topics in biomedical sciences. students who present a seminar receive a letter grade; other students receive a satisfactory (s) or no credit (nc) grade. course is repeatable."
BMSC260A,11237,TOPICS IN TRANSLATIONAL BIOMEDICAL RESEARCH,Biomedical Sciences,"2 units, lecture, 2 hours per quarter; discussion, 18 hours, per quarter. prerequisite(s): consent of instructor or graduate advisor; concurrent enrollment in bmsc 232. a survey of the mechanisms of common human diseases at the molecular, cellular and organ system levels and the multidisciplinary approaches used for their investigation. instructional components include lectures, discovery in problem-based learning sessions, and independent study. may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor."
BMSC261,11238,METHODS IN BIOMEDICAL RESEARCH,Biomedical Sciences,"1 unit, tutorial, 3 hours. prerequisite(s): graduate standing in biomedical sciences or consent of instructor experimental studies on a specific laboratory technique involved in the study of human disease. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 3 units."
BMSC297,35262,DIRECTED RESEARCH,Biomedical Sciences,"1 to 6 units, research, 3 to 18 hours. prerequisite(s): graduate standing in biomedical sciences or consent of instructor. directed research in biomedical sciences performed prior to advancement to candidacy in preparation for dissertation projects. graded satisfactory (s) or no credit (nc). course is repeatable."
BMSC299,11276,RESEARCH FOR DISSERTATION,Biomedical Sciences,"1 to 12 units, research, 3 to 36 hours. prerequisite(s): graduate standing in biomedical sciences or consent of instructor. original research in the area selected for the advanced degree. graded satisfactory (s) or no credit (nc). course is repeatable."
BMSC302,11292,DIRECTED TEACHING,Biomedical Sciences,"2 units, practicum, 6 hours. prerequisite(s): graduate standing in biomedical sciences. supervised teaching in medical school courses. required for all biomedical sciences graduate students. fulfills the teaching portion of the teaching requirement for the ph.d.; four units are required for the ph.d. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 6 units."
BPHY252,31674,SEMINAR IN BIOPHYSICS,Biophysics,"1 unit, seminar, 1 hour. prerequisite(s):  restricted to major(s) biophysics;  graduate standing;  or consent of instructor. provides oral presentations by visiting scholars, faculty, and graduate students on current research in biophysics.  students who present a seminar receive a letter grade; other students receive a satisfactory(s) no credit grade. course is repeatable."
BPHY290,29345,DIRECTED STUDIES,Biophysics,"1 to 6 units, research, 3 to 18 hours. prerequisite(s):  restricted to major(s) biophysics;  graduate standing;  or consent of instructor. explores literature or research topics under the direction of a faculty member.  graded satisfactory (s) or no credit (nc). course is repeatable."
BPHY297,37127,DIRECTED RESEARCH,Biophysics,"1 to 6 units, research, 3 to 18 hours. prerequisite(s):  restricted to major(s) biophysics;  graduate standing;  or consent of instructor. exploratory research toward the development of the dissertation problem or other research not specifically for thesis or dissertation.  graded satisfactory (s) or no credit (nc). course is repeatable."
BPHY299,29347,THESIS OR DISSERTATION,Biophysics,"1 to 12 units, research, 3 to 36 hours. prerequisite(s):  restricted to major(s) biophysics;  graduate standing;  or consent of instructor. original research in an area selected for the advanced degree.  graded satisfactory (s) or no credit (nc). course is repeatable."
BLKS001,37786,INTRODUCTION TO BLACK STUDY 1: BLACK PEOPLE DOMESTICALLY AND GLOBALLY NOW,Black Study,"4 units, lecture, 3 hours; activity, 2 hours; extra reading, 1 hour. introduces social issues and movements impacting black peoples globally. studies creation of possibilities to navigate issues (e.g., aids and other pandemics, food and nutrition insecurity, state terror and industrial incarceration, residential segregation, exposure to environmental toxins, and health and education inequities) to create vibrant futures."
BLKS002,37791,INTRODUCTION TO BLACK STUDY 2: IMAGINED AND EMBODIED FUTURES,Black Study,"4 units, lecture, 3 hours; activity, 2 hours; extra reading, 1 hour. engages critical appraisal of artistic forms, political organizing efforts, embodied praxis and resistance formations, and theoretical prisms that imagine and propose alternatives to antiblackness. examines black interventions through time and technologies focusing on transgender, queer, and feminist perspectives-building on what cedric robinson terms the black radical tradition."
BLKS101,37787,"CRITICAL THEORIES OF GENDER, RACE, AND BLACKNESS",Black Study,"4 units, lecture, 3 hours; activity, 2 hours; extra reading, 1 hour. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. examines critical theories on the intersections of gender, race, and blackness. explores analytical and political implications of such theories and interrogates relations to traditional disciplinary canons and existing forms of political organizing. probes continuities and ruptures between our planetary contemporary political moment and the cognitive apparatus that transatlantic slavery realized."
BLKS111,37790,"TROUBLESOME POSSIBILITIES: REALITY, BLACK ALIVENESS, AND BECOMING",Black Study,"4 units, lecture, 3 hours; activity, 2 hours; extra reading, 1 hour. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. examines critical terms and concepts central to black study and its connection to black becoming, black aliveness, and black life. topics include anti-blackness, the fungible, fugitivity, slavery's afterlife, neoliberalism, miserablism, social death, microaggressions, black spirituality, the dark feminine, trans and queer epistemologies, unfreedom, interlocking oppressions, racial capitalism, and black rhetoric."
BLKS142,37788,BLACKNESS AND CARCERALITY,Black Study,"4 units, lecture, 3 hours; activity, 2 hours; extra reading, 1 hour. prerequisite(s):  or consent of instructor. examines the history, contemporary dynamics, key social theories, and social movements focusing on the criminal justice system. addresses the vast apparatus of surveillance and punishment that constitute its lesser-known aspects including schools, hospitals, immigration detention centers, and various technologies."
BLKS144,37785,ARTIST HEALERS: TRANS INDIGENOUS MEDICINE AND ART INTERSECTIONS,Black Study,"4 units, lecture, 3 hours; extra reading, 1 hour; activity, 2 hours. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. examines a range of contemporary live performance makers and healers (centered in trans-indigeneity) who call us to question the construction of norms, binaries, borders, and being. focuses on healing modalities and positioning wellness and political and critical engagement as partners in accessing a radical imaginary."
BLKS145,36374,BLACK LANGUAGE IN SCHOOLS AND SOCIETY,Black Study,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. explores linguistic, sociolinguistic, and sociopolitical dimensions of black language in the united states. considers the relationship between black language and blackness. critically interrogates the role of black language in classroom instruction, schools, and society. encourages liberatory learning engagements and centers the lived experiences of black language speakers.     cross-listed with educ 145."
BPSC011,24451,PLANTS AND HUMAN AFFAIRS,Botany/Plant Science,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): none. an introduction for non-science and non-botany majors to the importance of plants and plant products in the shaping of human affairs and civilization. covers the origin and practice of agriculture; the utilization of plant products; the latest agricultural advances, including genetic engineering; and the current agricultural and social issues. plants and plant products are examined during class demonstrations and exercises."
BPSC060W,38125,SCICOMM: EXPLORING EFFECTIVE COMMUNICATION METHODS IN THE LIFE SCIENCES,Botany/Plant Science,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005a with a grade of c- or better, engl 001b with a grade of c or better, engl 007, may be taken concurrently; for concurrent enrollment in engl 007, review the course titles or topics in the current online schedule of classes to find the corresponding engl 007 writing workshop. teaches the process of analyzing and translating scientific research into popular science stories. introduces the art of science communication through written narratives. provides resources and guidance on interpretation of scientific literature; interviewing scientists; and pursuing careers in entomology, the broader life sciences, and science writing. fulfills the third-quarter writing requirement for students who earn a grade of ""c"" or better for courses that the academic senate designates, and that the student's college permits, as alternatives to english 001c.      cross-listed with entm 060w."
BPSC097,35166,LOWER-DIVISION RESEARCH,Botany/Plant Science,"1 to 4 units, individual study, 3 to 12 hours. prerequisite(s): consent of instructor involves special research projects in plant biology performed under faculty supervision. requires a final written report. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 6 units."
BPSC104,11294,FOUNDATIONS OF PLANT BIOLOGY,Botany/Plant Science,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s): biol 005c. a study of the plant world from cells to ecosystems. examines the structure and function of organisms from the major plant groups and their role in the biosphere. the laboratory explores the unique properties of plants.     cross-listed with biol 104."
BPSC109,37910,EPIGENETICS,Botany/Plant Science,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 102. introduction to mechanisms that cause a heritable change in phenotype without a change in the genetic code.  covers dna modifications, histone modifications, and noncoding rnas that influence the expression, maintenance, and inheritance of traits.  discusses impacts of epigenetics on multicellular life such as learning, memory, disease, and crosstalk with environments.     cross-listed with cbns 109."
BPSC143,24369,PLANT PHYSIOLOGY,Botany/Plant Science,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s): biol 005a, biol 005b, biol 005c, chem 001c or chem 01hc, chem 008c and chem 08lc or chem 08hc and chem 08hlc, math 007b or math 009b or math 09hb, phys 002c or phys 02hc, phys 02lc or phys 02hlc, bch 100 or bch 110a or bch 110ha (bch 100 or bch 110a  or bch 110ha may be taken concurrently), biol 104/bpsc 104; or consent of instructor.  a survey of the fundamental principles of plant physiology including photosynthesis, respiration, water relations, mineral nutrition, growth, morphogenesis, plant hormones, dormancy, and senescence. cross-listed with biol 143."
BPSC190,11305,SPECIAL STUDIES,Botany/Plant Science,"1 to 5 units, variable hours. library, laboratory or field work designed to meet special curricular needs. a written proposal signed by the supervising faculty member must be approved by the major advisor and the department vice chair. a written report must be filed. course is repeatable, but total credit toward graduation may not exceed 6 units."
BPSC197,11318,RESEARCH FOR UNDERGRADUATES,Botany/Plant Science,"1 to 4 units, research, 3 to 12 hours. prerequisite(s): upper-division standing; consent of instructor. individual research conducted under the direction of a botany and plant sciences faculty member. a written proposal must be approved by the supervising faculty member and undergraduate advisor. a written report must be filed with the supervising faculty member at the end of the quarter. course is repeatable."
BPSC198I,27549,INDIVIDUAL INTERNSHIP IN BOTANY AND PLANT SCIENCES,Botany/Plant Science,"1 to 12 units, internship, 2 to 24 hours; written work, 1 to 12 hours. prerequisite(s): upper-division standing; consent of instructor. an off-campus internship related to plant biology. the student conducts the internship in the public or private sector but is jointly supervised by an off-campus sponsor and a faculty member in botany and plant sciences. requires an initial written proposal and a final written report. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 12 units."
